MgrID	education	religion	research_area	professional	pricing_group	race	age_group	gender	selected	rating
383	1	others	3	6	6	1	6	female	0	0.333333333
383	2	Chrisitan	1	4	3	6	4	male	1	0.5
383	1	buddist	5	5	1	2	5	female	1	0.666666667
383	2	hindu	5	3	2	1	6	male	0	0.666666667
383	2	Chrisitan	2	3	6	2	2	female	0	0.333333333
383	2	hindu	1	2	2	1	3	male	1	0.5
383	2	Chrisitan	2	1	6	2	3	male	0	0.333333333
383	1	muslim	4	6	6	4	6	female	1	0.5
383	2	hindu	6	2	1	1	6	female	0	0.5
383	1	hindu	5	1	2	3	4	female	1	0.5
767	2	buddist	2	5	1	1	2	male	0	0.833333333
767	2	others	4	3	6	4	2	male	1	0.833333333
767	1	Chrisitan	5	3	4	2	2	male	1	0.833333333
767	1	muslim	5	4	1	5	4	male	0	0.5
767	2	hindu	6	4	4	5	1	male	1	0.666666667
767	1	catholic	2	6	5	1	6	male	0	0.166666667
767	2	others	4	2	4	2	4	female	1	0.833333333
767	2	muslim	1	3	5	1	6	female	0	0.166666667
767	2	hindu	3	5	4	1	1	female	1	0.833333333
767	2	others	6	6	3	4	1	male	0	0.833333333
269	1	Chrisitan	4	4	3	4	1	male	0	0.5
269	2	catholic	6	2	4	3	1	male	1	0.666666667
269	1	Chrisitan	4	4	1	5	6	female	0	0.166666667
269	2	hindu	4	4	4	6	1	female	1	
269	2	hindu	6	6	2	4	1	female	0	0
269	1	muslim	5	2	4	4	5	male	1	0.5
269	1	Chrisitan	6	4	6	1	3	female	1	0.5
269	2	catholic	3	5	3	4	4	male	0	0.5
269	1	buddist	3	2	5	5	3	female	1	0.666666667
269	1	buddist	1	4	4	3	6	female	0	0.333333333
290	1	muslim	4	3	2	4	5	female	0	0.666666667
290	2	others	6	4	2	3	1	female	1	0.833333333
290	1	others	3	6	3	3	4	male	1	0.833333333
290	1	others	5	4	5	1	5	male	0	0.5
290	2	Chrisitan	6	5	4	3	1	male	1	0.833333333
290	2	buddist	3	2	2	4	6	female	0	0.666666667
290	1	hindu	2	4	5	4	5	female	1	0.666666667
290	2	catholic	6	2	1	3	2	female	0	0.833333333
290	1	muslim	2	3	2	1	6	female	0	0.666666667
290	1	buddist	2	5	3	1	2	male	1	0.833333333
412	2	muslim	2	3	3	2	1	female	1	0.5
412	2	hindu	6	2	4	4	5	female	0	0.5
412	1	muslim	5	1	5	2	6	male	0	0.5
412	2	hindu	5	2	6	4	6	female	1	0.5
412	1	hindu	2	1	6	5	1	female	1	0.5
412	1	hindu	1	5	4	5	1	female	0	0.333333333
412	2	muslim	4	5	2	3	4	male	1	0.5
412	1	hindu	4	4	4	2	2	male	0	0.5
412	1	muslim	5	4	1	4	3	male	0	0.5
412	2	catholic	5	3	4	6	3	female	1	0.5
885	1	buddist	2	1	4	2	6	male	1	0.5
885	1	others	5	1	3	5	6	female	0	
885	1	Chrisitan	1	6	2	5	1	female	0	0.5
885	2	catholic	1	4	1	1	1	male	1	0.5
885	2	muslim	2	6	6	5	6	male	0	0.5
885	1	Chrisitan	5	1	3	4	6	male	1	0.5
885	2	Chrisitan	3	2	5	2	4	female	0	0.5
885	2	buddist	2	5	6	6	3	male	1	0.5
885	2	catholic	6	4	3	6	1	female	1	0.5
885	2	buddist	4	6	3	1	4	male	0	0.5
453	2	catholic	5	6	2	2	2	female	0	0.5
453	1	hindu	5	1	5	2	6	female	1	0.666666667
453	1	hindu	3	4	2	2	4	male	1	0.5
453	1	others	1	2	4	2	5	female	0	0.333333333
453	1	others	2	4	4	6	5	male	1	0.5
453	1	Chrisitan	4	5	4	2	5	male	0	0.166666667
453	2	others	3	2	4	3	2	male	1	0.5
453	1	Chrisitan	2	1	6	3	6	female	0	0.5
453	2	hindu	4	1	6	5	2	male	1	0.666666667
453	1	hindu	6	5	2	5	1	female	0	0.166666667
385	2	hindu	4	5	6	1	3	male	1	0.666666667
385	1	muslim	5	6	4	4	2	female	0	0.333333333
385	1	others	6	3	6	2	2	female	1	0.666666667
385	1	muslim	4	3	3	5	1	female	0	0.333333333
385	2	buddist	1	3	3	2	4	female	0	0.666666667
385	1	hindu	5	3	4	6	2	female	1	0.5
385	2	Chrisitan	2	4	1	3	6	female	0	0.5
385	2	catholic	4	2	5	5	3	female	1	0.833333333
368	1	catholic	3	1	3	1	6	male	0	0.5
368	2	buddist	1	1	5	5	2	male	1	0.666666667
368	2	others	2	2	4	3	6	female	0	0.5
368	2	hindu	2	1	5	5	3	male	1	0.666666667
368	1	Chrisitan	6	2	1	1	1	female	0	0.5
368	2	buddist	5	3	5	5	5	male	1	0.666666667
368	1	catholic	6	5	6	3	3	male	0	0.333333333
368	2	muslim	2	3	5	4	4	male	1	0.666666667
368	1	buddist	4	2	1	4	5	female	0	0.5
368	2	buddist	1	2	2	2	2	male	1	0.5
64	1	Chrisitan	3	4	6	3	6	male	0	0.5
64	2	muslim	4	5	2	1	2	female	1	0.833333333
64	1	catholic	6	1	3	6	5	male	0	0.333333333
64	2	Chrisitan	2	6	2	3	5	male	1	0.666666667
64	1	Chrisitan	6	1	3	6	6	female	0	0.5
64	1	others	6	6	1	2	5	female	1	0.666666667
64	1	others	5	2	2	4	5	male	1	0.333333333
64	1	hindu	2	6	1	6	5	male	0	0.166666667
64	1	others	4	4	3	4	4	male	0	0.5
64	2	Chrisitan	5	6	2	5	4	male	1	0.666666667
381	1	others	4	5	3	3	1	female	0	0.333333333
381	1	catholic	6	2	4	2	3	female	1	0.5
381	1	others	3	3	4	1	1	male	1	0.5
381	2	muslim	1	1	1	2	5	female	0	0.166666667
381	2	buddist	1	4	4	3	1	female	0	0.666666667
381	1	muslim	5	1	6	4	6	female	1	0.333333333
381	1	Chrisitan	3	5	2	3	3	female	1	0.5
381	1	hindu	3	4	3	1	4	male	0	0.166666667
381	1	Chrisitan	3	1	1	6	1	female	0	0.666666667
381	1	hindu	6	4	4	6	5	female	1	0.166666667
68	2	buddist	2	6	5	5	1	female	0	0.166666667
68	2	others	5	2	2	1	5	female	1	0.333333333
68	2	hindu	6	4	5	6	3	female	0	0.333333333
68	1	Chrisitan	6	5	4	3	4	male	1	0.666666667
68	1	hindu	6	5	6	5	5	female	0	0.166666667
68	1	others	6	4	5	1	1	female	1	0.333333333
68	1	muslim	4	1	5	4	4	male	1	0.333333333
68	2	catholic	4	1	5	5	1	male	0	0
68	1	buddist	2	3	2	2	6	male	1	0.166666667
68	2	catholic	2	4	4	1	6	male	0	0.166666667
645	2	muslim	6	3	1	4	3	female	1	0.833333333
645	2	Chrisitan	2	5	5	3	2	male	0	0.5
645	2	others	4	5	4	4	6	female	1	1
645	1	others	5	6	1	5	2	female	0	0.5
645	2	Chrisitan	3	2	1	2	5	male	0	0.666666667
645	1	others	1	6	5	3	4	male	1	0.5
645	2	others	1	6	5	2	1	female	1	0.666666667
645	1	others	4	5	4	2	5	male	0	0.5
645	1	others	6	2	6	4	3	female	0	0.666666667
645	2	others	5	1	5	3	5	female	1	0.5
727	2	buddist	3	3	4	6	2	female	1	0
727	1	catholic	2	2	6	5	5	female	0	0
727	2	muslim	4	1	1	5	6	female	1	0
727	2	hindu	1	3	6	6	5	male	0	0
727	1	muslim	6	2	3	1	1	male	0	0
727	1	hindu	5	1	3	2	3	female	1	0
727	1	Chrisitan	6	6	5	6	5	male	0	0
727	2	others	6	5	4	1	3	male	1	0
727	1	catholic	4	5	2	6	2	male	1	0
727	1	others	2	3	1	2	6	male	0	0
833	1	muslim	1	4	6	3	3	male	0	0.666666667
833	2	hindu	4	4	4	6	6	female	1	0.833333333
833	1	hindu	5	5	5	1	1	female	0	0.333333333
833	1	Chrisitan	6	3	3	2	4	female	1	0.666666667
833	2	catholic	1	1	4	6	5	male	0	0.166666667
833	2	hindu	4	5	2	6	6	female	1	0.5
833	2	Chrisitan	4	3	6	5	6	female	1	0.666666667
833	2	hindu	5	1	6	2	4	male	0	0.5
833	1	muslim	2	6	5	1	1	female	1	0.666666667
833	2	others	2	3	4	5	5	female	0	0.5
57	1	hindu	3	1	3	6	2	female	1	0.5
57	1	Chrisitan	2	5	2	5	5	female	0	0.5
57	2	hindu	6	5	4	2	3	female	1	0.5
57	1	catholic	5	5	3	2	6	female	0	0.333333333
57	2	muslim	6	2	1	4	3	female	1	0.5
57	2	others	6	6	6	4	5	female	0	0.333333333
57	1	others	5	1	2	3	5	male	1	0.5
57	1	muslim	3	3	6	3	2	male	0	0.5
86	2	Chrisitan	5	6	3	5	1	female	1	0.666666667
86	2	catholic	2	5	6	5	2	male	0	0.333333333
86	2	buddist	1	5	5	2	2	male	1	0.833333333
86	1	buddist	1	2	1	1	1	female	0	0.666666667
86	2	others	6	2	2	3	5	female	1	0.833333333
86	1	others	1	1	4	6	4	female	0	0.5
86	1	hindu	3	4	6	1	5	female	0	0.666666667
86	1	others	3	4	5	1	1	female	1	0.5
86	2	catholic	5	2	6	3	6	male	0	0.833333333
86	1	others	3	1	5	1	6	male	1	0.666666667
811	1	buddist	3	5	4	3	1	female	0	0.166666667
811	2	catholic	1	3	4	6	4	female	1	0.333333333
811	1	hindu	1	3	2	2	5	male	0	0.333333333
811	2	Chrisitan	2	6	4	6	6	male	1	0.5
811	2	Chrisitan	2	4	5	1	1	female	1	0.833333333
811	1	others	3	3	6	5	2	male	0	0.5
811	2	hindu	1	6	1	5	1	male	0	0.5
811	1	muslim	5	2	1	4	4	female	1	0.5
811	2	buddist	5	4	1	1	6	female	0	0.666666667
811	1	Chrisitan	2	1	2	2	1	male	1	0.666666667
633	2	catholic	3	1	3	1	1	female	1	0.666666667
633	1	catholic	2	6	2	4	3	male	0	0.333333333
633	2	others	5	3	5	6	1	female	1	0.833333333
633	1	Chrisitan	2	6	4	5	4	female	0	0.166666667
633	1	buddist	6	5	3	3	4	female	0	0.833333333
633	1	Chrisitan	6	1	6	3	6	male	1	0.666666667
633	2	Chrisitan	1	2	4	2	2	female	1	0.833333333
633	2	muslim	1	5	3	3	4	male	0	0.5
633	2	hindu	6	6	5	3	6	female	1	0.833333333
633	2	muslim	4	3	6	3	6	male	0	0.5
895	1	others	6	5	5	6	2	female	1	0.666666667
895	1	others	6	3	1	2	5	female	0	0.333333333
895	1	others	2	5	3	2	3	female	0	0.333333333
895	2	others	5	2	2	2	4	female	1	0.666666667
895	1	muslim	6	5	2	5	4	female	1	0.5
895	2	Chrisitan	3	5	3	6	6	female	0	0.333333333
895	1	hindu	4	4	4	2	6	male	1	0.833333333
895	2	others	1	3	6	5	3	male	0	0.5
895	1	others	1	6	5	2	5	male	0	0.666666667
895	1	muslim	2	4	5	6	4	female	1	0.333333333
841	1	muslim	4	3	5	5	6	female	1	0.666666667
841	2	buddist	2	2	6	3	6	male	0	0.5
841	1	catholic	3	1	6	6	2	female	1	0.5
841	2	Chrisitan	1	3	6	2	5	female	0	0.5
841	2	muslim	5	3	4	2	5	male	0	0.5
841	1	buddist	5	1	2	6	2	female	1	0.666666667
841	1	muslim	3	2	3	3	5	male	0	0.5
841	2	buddist	6	5	5	5	1	male	1	0.833333333
841	2	others	2	1	6	5	2	female	1	0.5
841	2	Chrisitan	5	1	3	2	6	female	0	0.5
518	2	catholic	6	1	4	1	4	female	1	0.666666667
518	1	buddist	2	4	6	4	5	male	0	0.333333333
518	2	muslim	2	4	2	4	2	female	1	0.833333333
518	1	buddist	3	2	6	1	2	female	0	0.5
518	2	buddist	2	2	3	5	5	female	0	0.5
518	2	Chrisitan	2	1	2	4	3	female	1	0.833333333
518	2	others	3	3	1	4	4	male	0	0.666666667
518	2	hindu	2	3	3	2	6	female	1	0.666666667
518	1	catholic	1	1	4	6	5	male	0	0.666666667
518	2	hindu	4	1	3	5	3	male	1	0.666666667
631	2	muslim	3	1	1	2	1	female	1	1
631	1	others	1	3	5	1	5	male	0	0.333333333
631	1	catholic	6	3	2	5	4	male	0	0.166666667
631	1	hindu	6	5	3	4	4	female	1	0.666666667
631	2	muslim	5	3	5	2	1	male	1	0.666666667
631	2	catholic	1	1	3	4	1	female	0	0.5
631	2	buddist	5	6	3	6	2	female	1	0.833333333
631	1	muslim	2	5	4	5	6	male	0	0.666666667
631	2	catholic	2	6	6	3	5	male	0	0.333333333
631	1	buddist	1	6	1	2	1	female	1	0.666666667
580	2	Chrisitan	5	2	4	6	6	female	1	0.833333333
580	2	buddist	2	3	1	4	5	male	0	0.666666667
580	1	buddist	1	6	4	2	6	male	0	0.333333333
580	2	catholic	4	5	3	6	1	male	1	0.833333333
580	1	others	1	3	6	2	6	male	0	0.5
580	2	others	5	1	4	3	4	female	1	0.833333333
580	1	buddist	6	6	2	6	1	female	0	0.166666667
580	2	others	6	6	1	2	4	male	1	0.833333333
580	1	hindu	3	1	3	5	3	male	1	0.666666667
580	1	catholic	4	4	5	3	4	male	0	0.333333333
507	2	muslim	6	1	6	6	3	female	0	0.5
507	2	buddist	3	5	4	1	4	male	1	0.666666667
507	1	Chrisitan	3	2	1	5	5	male	1	0.666666667
507	2	buddist	1	6	1	2	1	female	0	0.333333333
507	1	catholic	4	4	3	5	2	female	0	0.166666667
507	1	hindu	1	6	4	3	3	male	1	0.666666667
507	2	buddist	6	4	3	4	3	female	1	0.833333333
507	2	Chrisitan	2	5	4	3	2	male	0	0.166666667
507	2	buddist	6	3	4	1	4	female	1	0.5
507	1	Chrisitan	6	1	4	3	6	female	0	0.166666667
699	1	others	6	1	2	3	6	female	0	0.666666667
699	2	muslim	2	6	5	3	4	female	1	0.833333333
699	2	catholic	4	6	3	1	1	male	1	0.833333333
699	2	hindu	6	3	6	1	5	female	0	0.666666667
699	2	Chrisitan	1	3	3	5	2	male	1	0.833333333
699	1	Chrisitan	6	2	4	5	6	female	0	0.5
699	1	others	5	3	6	5	5	male	0	0.333333333
699	2	buddist	4	5	1	1	5	male	1	0.666666667
699	2	buddist	3	2	2	6	4	female	1	0.666666667
699	2	others	5	5	4	2	4	female	0	0.5
541	2	catholic	4	6	4	3	6	male	1	0.666666667
541	2	others	1	5	1	6	2	female	0	0.333333333
541	1	muslim	4	1	3	2	5	female	1	0.666666667
541	2	hindu	2	5	4	5	2	female	0	0.166666667
541	2	catholic	1	4	5	5	1	female	0	0.833333333
541	1	buddist	1	4	1	6	5	male	1	0.5
541	1	catholic	3	6	4	1	1	female	0	0.833333333
541	2	muslim	4	3	3	2	1	female	1	0.333333333
541	2	catholic	6	3	4	2	6	male	0	0.666666667
541	1	muslim	1	3	2	1	2	female	1	0.333333333
900	1	Chrisitan	2	2	6	6	3	male	0	0.5
900	2	buddist	4	4	6	1	3	female	1	0.833333333
900	1	catholic	3	3	1	3	2	male	0	0.666666667
900	2	muslim	1	4	5	2	1	male	1	0.333333333
900	1	buddist	1	2	5	5	3	male	1	0.666666667
900	1	catholic	5	1	5	3	5	female	0	0.5
900	1	muslim	5	4	3	3	6	male	0	0.833333333
900	1	muslim	2	4	6	2	3	female	1	0.666666667
900	1	hindu	2	1	3	1	1	male	0	0.833333333
900	1	muslim	4	3	1	2	2	male	1	0.666666667
628	1	others	1	3	3	5	5	male	1	0.833333333
628	1	buddist	6	4	3	2	1	female	0	0.166666667
628	1	muslim	4	1	6	2	2	male	1	0.5
628	2	buddist	3	1	1	4	6	male	0	0.166666667
628	1	muslim	2	5	2	5	6	female	1	0.166666667
628	2	muslim	1	2	2	2	1	male	0	0.166666667
628	1	buddist	5	1	1	2	1	male	1	0.333333333
628	1	buddist	6	5	1	4	2	female	0	0.166666667
628	1	catholic	4	3	2	5	6	male	1	0.5
628	2	buddist	6	6	4	6	6	male	0	0.166666667
823	1	muslim	6	6	2	5	2	male	0	0.666666667
823	2	catholic	6	1	4	3	6	male	1	0.666666667
823	2	Chrisitan	4	3	3	4	6	female	1	0.666666667
823	1	catholic	1	5	2	1	3	male	0	0.666666667
823	2	buddist	2	4	2	4	3	female	0	0.5
823	1	hindu	2	4	4	6	5	female	1	0.5
823	2	buddist	1	6	3	5	4	male	1	0.333333333
823	1	others	5	2	4	2	6	male	0	0.333333333
823	2	others	6	1	3	1	2	male	0	0.333333333
823	1	Chrisitan	3	1	3	1	6	female	1	0.333333333
514	1	muslim	1	1	5	5	1	female	0	0.5
514	1	Chrisitan	5	2	6	6	4	male	1	0.666666667
514	1	hindu	2	2	5	6	3	male	1	0.666666667
514	2	buddist	4	1	6	5	3	male	0	0.833333333
514	1	catholic	4	3	5	5	2	female	1	0.833333333
514	2	catholic	6	6	4	6	4	female	0	0.5
514	1	buddist	2	1	3	6	5	female	1	0.666666667
514	1	muslim	5	4	1	2	5	female	0	0.833333333
514	2	muslim	4	3	1	6	4	female	0	0.666666667
514	2	hindu	2	1	4	1	2	male	1	0.833333333
11	1	hindu	6	6	6	4	3	male	1	0.5
11	1	catholic	3	2	3	4	3	female	0	0.333333333
11	2	others	3	6	4	3	4	male	1	0.5
11	1	buddist	5	5	4	3	4	male	0	0.333333333
11	1	others	2	5	4	1	6	male	0	0.333333333
11	1	Chrisitan	1	4	5	3	5	male	1	0
11	2	catholic	5	4	1	4	3	male	0	0.5
11	1	buddist	3	3	4	5	1	male	1	0.166666667
11	2	hindu	2	4	4	3	3	male	0	0.5
11	2	buddist	2	6	3	2	1	male	1	0.333333333
228	2	muslim	4	4	3	3	1	female	0	0.5
228	2	hindu	3	4	6	3	2	female	1	0.5
228	1	others	5	3	1	2	5	female	0	0.5
228	1	buddist	3	1	2	1	3	male	1	0.666666667
228	1	others	2	4	3	1	3	male	0	0.666666667
228	1	buddist	3	3	3	6	5	female	1	0.833333333
228	1	catholic	4	3	6	5	1	female	0	0.5
228	2	muslim	2	2	6	5	5	male	1	0.833333333
228	1	muslim	2	1	6	3	5	male	1	0.833333333
228	2	Chrisitan	2	6	5	1	3	male	0	0.666666667
134	1	muslim	3	2	5	5	5	female	0	0.5
134	2	muslim	4	2	3	2	3	male	1	0.666666667
134	1	Chrisitan	1	6	6	1	3	male	0	0.166666667
134	2	Chrisitan	5	3	4	4	2	male	1	0.5
134	1	buddist	2	6	1	6	3	male	1	0.5
134	1	muslim	1	6	5	1	1	male	0	0.333333333
134	1	muslim	3	2	3	2	4	male	0	0.666666667
134	2	catholic	2	1	5	6	3	female	1	0.833333333
134	1	Chrisitan	3	1	5	6	2	female	1	0.5
134	1	muslim	3	4	4	1	5	male	0	0.5
98	1	hindu	4	4	2	1	3	female	1	0.5
98	1	hindu	4	6	4	5	1	female	0	0.333333333
98	2	others	5	1	2	5	6	female	0	0.333333333
98	2	catholic	3	2	2	2	2	female	1	0.5
98	2	hindu	2	5	4	4	5	male	1	0.5
98	1	catholic	1	6	5	3	5	female	0	0.333333333
98	2	hindu	1	4	1	5	3	male	0	0.333333333
98	1	others	5	4	6	5	4	female	1	0.333333333
98	1	Chrisitan	1	3	3	3	1	male	1	0.5
98	2	others	4	1	4	6	3	female	0	0.333333333
646	2	muslim	1	3	6	3	1	male	1	0.833333333
646	1	hindu	1	6	5	3	1	male	0	0.333333333
646	2	muslim	2	3	2	2	5	male	1	0.666666667
646	1	hindu	6	3	5	5	6	male	0	0.333333333
646	2	hindu	2	5	4	4	5	female	1	0.666666667
646	1	catholic	2	3	4	1	1	male	0	0.333333333
646	1	hindu	3	1	3	2	4	male	0	1
646	1	Chrisitan	4	4	4	5	3	male	1	0.166666667
646	2	buddist	6	1	4	3	1	female	1	0.833333333
646	1	others	5	3	3	4	1	female	0	0.333333333
123	1	others	5	6	2	2	4	male	0	0.5
123	1	muslim	6	5	3	2	2	male	1	0.666666667
123	1	others	2	1	1	2	2	female	0	0.333333333
123	1	buddist	4	2	4	2	6	female	1	0.833333333
123	1	hindu	1	6	1	4	5	female	0	0.333333333
123	1	Chrisitan	1	3	5	4	5	male	1	0.833333333
123	2	Chrisitan	3	2	2	6	5	female	1	0.833333333
123	1	hindu	6	5	3	3	3	female	0	0.333333333
123	2	others	4	6	1	4	4	female	1	0.666666667
123	1	muslim	1	3	6	3	2	female	0	0.333333333
567	2	Chrisitan	2	2	5	2	5	male	1	0.666666667
567	2	catholic	5	1	6	4	1	female	0	0.5
567	1	catholic	1	2	1	6	2	male	0	0.333333333
567	1	hindu	2	1	3	3	4	male	1	0.666666667
567	2	muslim	2	6	6	1	6	male	0	0.666666667
567	1	others	6	4	6	5	6	male	1	0.666666667
567	1	catholic	6	3	3	2	6	male	0	0.666666667
567	2	muslim	3	2	2	4	5	female	1	0.333333333
567	1	catholic	6	5	3	6	4	male	1	0.5
567	1	others	2	1	5	6	1	male	0	0.5
127	2	others	3	4	6	5	1	male	1	0.666666667
127	1	catholic	2	6	3	2	4	female	0	0.666666667
127	1	muslim	1	2	3	5	5	female	0	0.5
127	2	others	5	1	1	1	3	male	1	0.5
127	1	catholic	4	5	4	5	4	male	1	0.5
127	1	buddist	4	4	2	2	6	male	0	0.5
127	2	others	1	4	6	5	2	male	1	0.5
127	2	Chrisitan	1	4	6	1	2	female	0	0.5
127	2	buddist	6	6	3	4	5	female	1	0.333333333
127	2	muslim	1	5	3	4	6	female	0	0.333333333
894	1	muslim	5	1	3	1	3	male	1	0.833333333
894	1	muslim	5	6	2	2	4	female	0	0.666666667
894	1	catholic	3	4	4	3	6	male	0	0.666666667
894	1	Chrisitan	5	1	4	3	4	male	1	0.833333333
894	2	hindu	5	5	2	5	4	female	0	0.833333333
894	1	others	5	4	3	1	5	female	1	0.5
894	2	buddist	4	3	1	6	5	female	1	0.833333333
894	1	others	5	4	1	2	6	male	0	0.666666667
894	2	buddist	6	3	2	4	4	female	1	0.833333333
894	1	hindu	3	4	4	4	5	male	0	0.666666667
140	1	hindu	1	1	4	1	3	male	0	0.5
140	2	muslim	4	1	5	2	2	female	1	0.666666667
140	1	muslim	4	1	1	5	3	male	0	0.5
140	2	others	2	1	1	5	4	female	1	0.666666667
140	2	Chrisitan	4	3	4	1	5	female	1	0.666666667
140	1	others	1	6	2	2	1	female	0	0.5
140	1	Chrisitan	5	3	5	6	5	female	0	0.333333333
140	2	Chrisitan	5	3	1	3	4	male	1	0.666666667
140	1	buddist	1	3	3	2	5	male	0	0.5
140	2	hindu	2	4	1	1	5	male	1	0.666666667
155	1	buddist	4	3	3	6	1	male	0	0.5
155	2	catholic	5	4	5	4	2	male	1	1
155	1	hindu	1	2	3	4	5	female	0	0
155	2	buddist	2	4	1	3	1	male	1	1
155	2	muslim	4	5	4	3	6	female	1	1
155	2	buddist	1	2	2	3	6	male	0	0.833333333
155	2	Chrisitan	2	4	3	5	6	female	0	0.666666667
155	2	catholic	6	2	4	6	4	male	1	1
155	2	muslim	5	4	3	4	1	female	1	1
155	2	hindu	5	6	4	2	6	male	0	0.833333333
370	2	catholic	1	1	3	3	6	female	1	0.666666667
370	1	catholic	6	5	3	1	5	male	0	0.166666667
370	1	buddist	3	3	4	2	1	female	0	0.5
370	2	catholic	2	1	3	2	3	male	1	0.666666667
370	2	hindu	1	1	3	2	6	male	1	0.666666667
370	1	catholic	1	2	1	5	4	female	0	0.333333333
370	2	others	6	5	4	6	5	female	0	0.333333333
370	2	hindu	2	3	6	3	2	female	1	0.5
370	2	muslim	6	1	3	4	6	female	1	0.833333333
370	1	Chrisitan	2	2	4	5	5	female	0	0.666666667
